iter	RMSE
334	0.1570953473
335	0.1563607052
336	0.1559921572
337	0.1552925525
338	0.1544546065
339	0.15428121
340	0.153989891
341	0.1537460148
342	0.1533076757
343	0.1528345875
344	0.1525373153
345	0.1523039143
346	0.1521616909
347	0.1518273092
348	0.1517178739
349	0.151283658
350	0.1511072486
351	0.1508623895
352	0.1503542982
353	0.150272896
354	0.1499548955
355	0.1493489518
356	0.1489747433
357	0.1488532289
358	0.1483298704
359	0.1481312196
360	0.1480623454
361	0.1472712967
362	0.1471778645
363	0.1469013856
364	0.1466485931
365	0.1465789906
366	0.1464728404
367	0.146275363
368	0.146160768
369	0.1458546714
370	0.1456355551
371	0.1452767102
372	0.1450822249
373	0.1445512034
374	0.1437583364
375	0.1433894442
376	0.1431476431
377	0.1425205185
378	0.1424177847
379	0.1423756717
380	0.1418305913
381	0.1413722909
382	0.1405878383
383	0.1403071624
384	0.1401643543
385	0.1397221439
386	0.1390519497
387	0.1386930792
388	0.1384568923
389	0.1382320536
390	0.1380047246
391	0.1375267403
392	0.1372898431
393	0.1372848524
394	0.1372438643
395	0.1370323733
396	0.136526269
397	0.1362808146
398	0.1360528929
399	0.1356450334
400	0.1353546269
401	0.135113807
402	0.135086789
403	0.1343930651
404	0.1343640956
405	0.1341589418
406	0.134091528
407	0.1340271268
408	0.1335402753
409	0.1332742887
410	0.1332911844
411	0.1332298702
412	0.1331363554
413	0.13280065
414	0.1327329451
415	0.1322913045
416	0.1317564678
417	0.1314524257
418	0.1309840356
419	0.1309555277
420	0.1305446303
421	0.1304462549
422	0.1301240659
423	0.129888298
424	0.1296932845
425	0.1295306503
426	0.1291579971
427	0.1285094979
428	0.1279855196
429	0.1274257279
430	0.1274047604
431	0.1272687456
432	0.1271420229
433	0.1267322486
434	0.1264893524
435	0.1264722445
436	0.1263384206
437	0.1260706726
438	0.1260068888
439	0.1257448353
440	0.1255921524
441	0.1254518994
442	0.1251326513
443	0.1248521029
444	0.1244305842
445	0.1243391277
446	0.1241821417
447	0.1236945654
448	0.1233561834
449	0.1231775559
450	0.1231516822
451	0.1229930661
452	0.1229242019
453	0.1224050738
454	0.1222774488
455	0.1220595371
456	0.1220713566
457	0.1220466201
458	0.1217466625
459	0.121446189
460	0.1211997449
461	0.1210924676
462	0.1208857005
463	0.1207710877
464	0.1205168137
465	0.1199541998
466	0.1199342604
467	0.1197865617
468	0.119305575
469	0.1190115497
470	0.1188337059
471	0.1185788949
472	0.1184379112
473	0.1179989446
474	0.1173595164
475	0.1171148476
476	0.1169765552
477	0.1168467827
478	0.1165248807
479	0.1163351325
480	0.1162146764
481	0.1160878894
482	0.1157957241
483	0.1156011929
484	0.1150582305
485	0.1149653935
486	0.1143474672
487	0.1140384959
488	0.113970017
489	0.1138088969
490	0.1135730668
491	0.113473128
492	0.1133995242
493	0.1131786661
494	0.1130488693
495	0.1130297077
496	0.1129970624
497	0.1127763816
498	0.1127672391
499	0.1126928355
