# IQR screening (Tukey fences)
index,PM2_5,mild_outlier_IQR1p5,extreme_outlier_IQR3
0,0.0205086763738691,0,0
1,0.0147205307842184,0,0
2,0.00549353745697717,0,0
3,0.0114344380688371,0,0
4,0.00565565529750806,0,0
5,0.0201757191634117,0,0
6,0.0412677119445075,0,0
7,0.01351208593178,0,0
8,0.0313757020008481,0,0
9,0.0219880016687135,0,0
10,0.293057367792404,0,0
11,0.437089706285779,0,0
12,0.742032851293245,0,0
13,0.0256566873574363,0,0
14,0.0159257691920259,0,0
15,0.193593583604219,0,0
16,0.136273896807019,0,0
17,0.141700483700106,0,0
18,0.0289208479915433,0,0
19,0.218716718575098,0,0
20,0.271678205830178,0,0
21,0.542380369914754,0,0
22,0.727983493499136,0,0
23,0.997576227741472,0,0
24,1.28819426071658,0,0
25,0.0967772966187546,0,0
26,0.112090891401877,0,0
27,0.104156864807541,0,0
28,0.0133336793525249,0,0
29,0.0177141700977179,0,0
30,0.0548827888778274,0,0
31,0.0309152565518719,0,0
32,0.0525985177228786,0,0
33,0.272750440914702,0,0
34,0.310405644080417,0,0
35,0.0756105295488696,0,0
36,0.200973536566361,0,0
37,0.101374953445899,0,0
38,0.229264895347995,0,0
39,0.088115791866593,0,0
40,0.101762291957294,0,0
41,0.0683460085934347,0,0
42,0.181961885061698,0,0
43,2.52654498093703,1,0
44,1.54743017880159,0,0
45,1.38533542467204,0,0
46,0.710494261905155,0,0
47,0.287589866665829,0,0
48,1.0939491275634,0,0
49,1.65843729191827,0,0
50,1.40571815190081,0,0
51,1.34822018678214,0,0
52,3.70194293243297,1,1
53,3.51917558848003,1,0
54,6.79841933813004,1,1
55,1.73009491652635,0,0
56,2.08595896742588,0,0
57,1.35158054075517,0,0
58,1.76773857649139,0,0
59,1.88021347170225,0,0
60,0.0216045108908754,0,0
61,0.0159914371780638,0,0
62,0.014505185962817,0,0
63,0.0292239211380421,0,0
64,0.012701753244696,0,0
65,0.135403026445307,0,0
66,0.502351115144429,0,0
67,0.575915933018878,0,0
68,0.883118980202099,0,0
69,0.878001494571417,0,0
70,0.176482712476667,0,0
71,0.166529780085023,0,0
72,0.129282564934124,0,0
73,0.0947530039944673,0,0
74,0.280766552491585,0,0
75,0.40364007589776,0,0
76,0.60750582552106,0,0
77,0.874807875719186,0,0
78,0.661207360196918,0,0
79,1.59971446495065,0,0
80,0.449752597421551,0,0
81,1.36828226954784,0,0
82,0.520720195145089,0,0
83,1.612337596173,0,0
84,0.397406747535575,0,0
85,0.747544088324584,0,0
86,0.160036216676606,0,0
87,0.64145694384933,0,0
88,0.641850695249986,0,0
89,0.136126400354004,0,0
